probe,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,direction
8063536,TFAP2C,-1.7412066666666643,10.302663333333333,-26.729947614023285,2.6274710133069557e-08,1.0669134430497769e-05,Down
8088848,,1.60298,9.144116666666667,26.603769045977774,2.715176271733104e-08,1.0814522865745304e-05,Up
7965094,,-1.7900333333333323,9.996316666666665,-26.5853824256576,2.7282335367228444e-08,1.0814522865745304e-05,Down
8095736,AREG,-2.3869766666666674,7.520901666666667,-26.269733000190673,2.96396056688355e-08,1.1489075069681451e-05,Down
7914648,PHC2,-1.5926700000000016,9.679331666666666,-26.211283044022302,3.0101183451066546e-08,1.1489075069681451e-05,Down
8165911,TBL1X,-1.5559066666666663,10.068313333333334,-26.188564657956274,3.028280038903844e-08,1.1489075069681451e-05,Down
7954899,,2.150643333333332,7.364764999999999,26.145369167660665,3.063157815978833e-08,1.1489075069681451e-05,Up
8115397,FAXDC2,2.075270000000001,9.831665,26.13581950556579,3.070930357694835e-08,1.1489075069681451e-05,Up
8055496,LRP1B,2.7205466666666664,7.643199999999999,26.05468970294944,3.137878385526279e-08,1.1609104066985391e-05,Up
8113039,MEF2C,2.0917633333333363,10.846418333333332,25.97746959744285,3.2031518284376824e-08,1.1720367739724122e-05,Up
8118890,SCUBE3,2.5489066666666638,9.028646666666667,25.823269737145843,3.3381886254458317e-08,1.2081702897985855e-05,Up
7994659,MVP,1.5031866666666645,9.119493333333333,25.60664642880171,3.53901482960823e-08,1.2670814707684436e-05,Up
8152812,FAM84B,-2.9648433333333295,9.047878333333331,-25.433513892767074,3.7094713932910236e-08,1.3025844999613919e-05,Down
7945663,,2.224956666666665,9.411555,25.42665312095362,3.7164167191138005e-08,1.3025844999613919e-05,Up
7930927,INPP5F,-1.892610000000001,10.037295,-25.34216087714767,3.8031787454605456e-08,1.3191087779958312e-05,Down
7987454,BMF,2.5847366666666707,8.677175,25.26906956213592,3.8801023808814445e-08,1.3208507892224284e-05,Up
7923772,LEMD1,2.2666899999999996,7.504668333333334,25.250977392838628,3.8994163755021823e-08,1.3208507892224284e-05,Up
7942332,FOLR1,2.3507866666666657,8.357243333333333,25.213911888947457,3.939328757257169e-08,1.3208507892224284e-05,Up
8078286,RARB,2.208553333333334,7.538826666666666,25.1885784515135,3.966876262793731e-08,1.3208507892224284e-05,Up
8152668,ATAD2,-1.9541299999999966,9.522301666666666,-25.116999116938985,4.045907488816469e-08,1.3299198582250723e-05,Down
8146687,ADHFE1,2.508639999999999,7.50329,25.068178358941175,4.10084187330575e-08,1.3299198582250723e-05,Up
8071212,CDC45,-2.538339999999999,9.075396666666666,-25.05665112255111,4.1139365527579794e-08,1.3299198582250723e-05,Down
8002969,,1.867196666666666,9.471235,24.88218929613701,4.3180656192668534e-08,1.3824868358146963e-05,Up
7902541,,2.3342799999999992,7.438796666666666,24.790741892254275,4.4296679932888e-08,1.4047110016432113e-05,Up
8114938,JAKMIP2,1.83659,8.317281666666666,24.63230190165265,4.630913827894538e-08,1.4546748842207965e-05,Up
8079931,SLC38A3,2.4157166666666683,8.837711666666666,24.56057100613314,4.7254419038584044e-08,1.4704956922689094e-05,Up
7918426,SLC16A4,2.1781033333333326,10.362048333333332,24.420599605541884,4.916311538734191e-08,1.515726160233633e-05,Up
7916167,ORC1,-1.9674000000000011,8.888926666666668,-24.312482764104153,5.069777569878683e-08,1.533369503915071e-05,Down
8113666,SEMA6A,2.0698833333333333,8.371268333333333,24.238831975590333,5.177452445826587e-08,1.533369503915071e-05,Up
8012464,LOC100128288,1.9317400000000016,7.709109999999999,24.224720649528425,5.198379383027867e-08,1.533369503915071e-05,Up
7945232,ADAMTS15,2.396753333333334,8.719406666666666,24.210511588219102,5.219548863812521e-08,1.533369503915071e-05,Up
8112107,PLPP1,1.5103233333333308,10.487138333333334,24.17214277289355,5.2772062591244784e-08,1.533369503915071e-05,Up
8113551,MCC,1.8941700000000004,9.155368333333334,24.156352072228504,5.3011460715917017e-08,1.533369503915071e-05,Up
7944751,JHY,1.5695800000000022,8.420446666666665,24.134225409125815,5.334900476665592e-08,1.533369503915071e-05,Up
8057990,ANKRD44,1.866500000000001,8.690773333333333,24.118420699407285,5.3591608939515765e-08,1.533369503915071e-05,Up
8133549,,2.047180000000001,8.708793333333334,24.09973912400349,5.3879998786095845e-08,1.533369503915071e-05,Up
7974270,ATL1,1.9550833333333335,7.892828333333334,23.8148687646771,5.8504571280461925e-08,1.6403690652824e-05,Up
8061471,GINS1,-1.7026599999999978,10.48107,-23.80779280059973,5.8625076964472955e-08,1.6403690652824e-05,Down
7969533,SLAIN1,1.8132400000000004,9.70678,23.766442148120156,5.933498108692983e-08,1.6429617315021273e-05,Up
7948444,TCN1,3.3576700000000024,9.217698333333333,23.72095074684465,6.012733228199068e-08,1.6429617315021273e-05,Up
8063444,,1.378823333333331,6.393995,23.716925889212792,6.019801520955628e-08,1.6429617315021273e-05,Up
